timestamp,user_name,status
2025-05-24T16:17:12.983768,Unknown,Accès refusé : Employé introuvable 
2025-05-24T16:17:42.971510,Valverde,Accès autorisé
2025-05-24T16:17:45.037297,Valverde,Déjà enregistré récemment
2025-05-24T16:18:12.955016,Elon Musk,Accès autorisé
2025-05-24T16:18:15.126117,Elon Musk,Déjà enregistré récemment
2025-05-24T16:36:14.790340,Valverde,Accès autorisé
2025-05-24T16:37:22.082038,Valverde,Déjà enregistré récemment
2025-05-24T16:47:51.770682,Unknown,Accès refusé : Employé introuvable 
2025-05-24T16:49:33.960944,Elon Musk,Accès autorisé
2025-05-24T16:49:36.519375,Elon Musk,Déjà enregistré récemment
2025-05-24T16:50:03.057349,Unknown,Accès refusé : Employé introuvable 
2025-05-24T16:50:03.058365,Unknown,Accès refusé : Employé introuvable 
2025-05-24T16:50:46.978607,Valverde,Accès autorisé
2025-05-24T16:50:56.590970,Valverde,Déjà enregistré récemment
2025-05-24T16:51:02.451363,Unknown,Accès refusé : Employé introuvable 
2025-05-24T16:51:10.247103,Valverde,Déjà enregistré récemment
2025-05-24T16:51:29.847859,Unknown,Accès refusé : Employé introuvable 
2025-05-24T16:51:33.718458,Valverde,Déjà enregistré récemment
2025-05-24T16:51:33.718458,Valverde,Déjà enregistré récemment
2025-05-24T16:51:40.041655,Unknown,Accès refusé : Employé introuvable 
2025-05-24T16:51:44.828368,Valverde,Déjà enregistré récemment
2025-05-24T16:51:48.806336,Unknown,Accès refusé : Employé introuvable 
2025-05-24T16:51:52.473910,Valverde,Déjà enregistré récemment
2025-05-24T16:52:14.029229,Unknown,Accès refusé : Employé introuvable 
2025-05-24T16:54:45.645552,Valverde,Déjà enregistré récemment
2025-05-24T16:54:51.489073,Unknown,Accès refusé : Employé introuvable 
2025-05-24T16:54:56.330343,Valverde,Déjà enregistré récemment
2025-05-24T16:55:14.467365,Unknown,Accès refusé : Employé introuvable 
2025-05-24T16:55:18.977061,Valverde,Déjà enregistré récemment
2025-05-24T16:55:18.980373,Valverde,Déjà enregistré récemment
2025-05-24T16:55:36.390065,Unknown,Accès refusé : Employé introuvable 
2025-05-24T16:55:36.396874,Valverde,Déjà enregistré récemment
2025-05-24T16:55:45.144640,Unknown,Accès refusé : Employé introuvable 
2025-05-24T16:55:47.052918,Valverde,Accès autorisé
2025-05-24T16:55:48.879382,Valverde,Déjà enregistré récemment
2025-05-24T16:56:19.918690,Unknown,Accès refusé : Employé introuvable 
2025-05-24T16:56:19.923387,Valverde,Déjà enregistré récemment
2025-05-24T16:56:24.237840,Unknown,Accès refusé : Employé introuvable 
2025-05-24T16:56:37.194622,Valverde,Déjà enregistré récemment
2025-05-24T16:56:44.440307,Unknown,Accès refusé : Employé introuvable 
2025-05-24T16:56:48.171162,Valverde,Déjà enregistré récemment
2025-05-24T16:56:48.171162,Valverde,Déjà enregistré récemment
2025-05-24T16:57:14.118748,Unknown,Accès refusé : Employé introuvable 
2025-05-24T16:58:11.721276,Valverde,Déjà enregistré récemment
2025-05-24T16:58:31.330250,Unknown,Accès refusé : Employé introuvable 
2025-05-24T17:12:23.886499,Valverde,Accès autorisé
2025-05-24T17:12:38.348021,Valverde,Déjà enregistré récemment
